"","PROBEID","SYMBOL","t","p","padj"
"1","223122_s_at","SFRP2",23.3067211763392,1.34574609683018e-48,3.08216228557017e-44
"2","207266_x_at","RBMS1",22.6544687338796,2.56598171130962e-47,2.93843395670621e-43
"3","204457_s_at","GAS1",22.1671770316659,6.42634713647706e-45,2.94365256933468e-41
"4","225242_s_at","CCDC80",21.2792504769876,2.00937034394141e-43,5.89506026244625e-40
"5","213413_at","STON1",21.0355349737235,3.83225094273489e-40,4.38850216707286e-37
"6","202363_at","SPOCK1",20.9774483602018,3.86230162174608e-43,8.84582940428504e-40
"7","226930_at","FNDC1",20.9556455792225,2.54735834837182e-43,6.48246091697332e-40
"8","202291_s_at","MGP",20.9040763739065,2.05913994234685e-43,5.89506026244625e-40
"9","227059_at","GPC6",20.8854379181402,1.14241335593203e-42,2.37860846281012e-39
"10","219778_at","ZFPM2",20.5966763561598,1.42441995208585e-35,3.10699906310688e-33
